name;id;calories;proteins;fat;carbohydrate;serat;kalsium;fosfor;zat_besi;natrium;kalium;tembaga;seng;vitamin_a;provitamin_a;total_karotenoid;vitamin_b1;vitamin_b2;vitamin_b3;vitamin_c;bdd;url_image;indeks_glikemik;referensi_ig;status_pencocokan_ig;klasifikasi_ig
Bawang Merah;78;39;1.5;0.3;0.2;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdn.shopify.com/s/files/1/0369/8321/0116/products/015_640x.jpg?v=1646380408;55;Atkinson et al. (2008);token(merah)→nasi merah;Sedang
Bawang Putih;79;95;4.5;0.2;23.1;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://www.astronauts.id/blog/wp-content/uploads/2022/11/Manfaat-Bawang-Putih-Untuk-Kulit-yang-Tidak-Banyak-Tahu.jpg;72;"Atkinson et al. (2008); Waspadji et al. (2003)";token(putih)→nasi putih;Tinggi
Bayam kukus;80;30;1.3;0.7;5.8;1.2;239;35;5.7;15;431;0.1;0.3;0;60;278.75;0.02;0.1;0.9;12.5;100;https://img-global.cpcdn.com/recipes/ff942e133f5dc64e/680x482cq70/bayam-kukus-foto-resep-utama.jpg;15;Waspadji et al. (2003);partial→bayam;Rendah
Bayam Merah;81;51;4.6;0.5;10;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/10/15060945/manfaat-bayam-merah-yang-jarang-diketahui-halodoc.jpg;15;Waspadji et al. (2003);partial→bayam;Rendah
Bayam merah segar;82;41;2.2;0.8;6.3;2.2;337.5;80;7;20;60;0.2;0.8;0;60;0;0.2;0.1;0.1;12.5;71;https://images.tokopedia.net/img/cache/700/VqbcmM/2020/10/28/6efbc93d-e05c-4446-8c6c-c6d401dc7407.jpg;15;Waspadji et al. (2003);partial→bayam;Rendah
Bayam rebus;83;23;1.2;0.6;3.7;1.1;150;35;0.5;16;308.4;0.2;0.3;0;60;278.75;0.02;0.1;0.9;12.5;100;https://img-global.cpcdn.com/recipes/5be8dc1e0002f811/1200x630cq70/photo.jpg;15;Waspadji et al. (2003);partial→bayam;Rendah
Bayam segar;84;36;3.5;0.5;6.5;0.7;166;76;3.5;16;456.4;0.13;0.4;0;60;278.75;0.04;0.1;1;12.5;71;https://mitalom.com/wp-content/uploads/2015/10/Gambar-Daun-Bayam.jpg;15;Waspadji et al. (2003);partial→bayam;Rendah
Bayam tumis + oncom;85;102;3.7;6.7;6.9;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1601173915/chhxzj6dnkwkryigiyrl.jpg;30;Rimbawan & Siagian (2004);partial→oncom;Rendah
Bayam tumis bersantan;86;48;1.4;4.2;2.6;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://img.kurio.network/FnRZ04iY18q6h7oJzzZDFZOD5Zk=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/04/07/2ab69e8a-370d-460a-89ac-0efadafee196.jpe;15;Waspadji et al. (2003);partial→bayam;Rendah
Bebek (itik);87;326;16;28.6;0;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://asset.kompas.com/crops/6unVsacqX8mpZ19lviQLxyDPCoI=/0x0:1000x667/750x500/data/photo/2020/11/03/5fa0cee5cb3cf.jpg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Bebek alabio daging segar;88;303;11.3;27;3.7;0;20;293;4.8;50;260;0.7;2;0;0;0;0.36;0.04;3.5;0;100;https://medioenblog.files.wordpress.com/2018/02/bebek.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Bebek daging goreng;89;300;24;20.7;4.5;0;170;170;4.1;34;6;0.4;2.5;0;0;0;0.1;0.3;3.5;0;100;https://asset.kompas.com/crops/y8jlET9Zwl-5iykdc5t58sS-_KY=/0x52:1000x719/750x500/data/photo/2020/07/14/5f0d253a6edd5.jpg;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Beberuk;90;65;1.1;5.2;3.5;3.1;179;72;8.2;53;427;0.4;0.2;0;44;0;0.3;0;3.5;0;100;https://s.kaskus.id/images/2019/11/21/10218416_20191121013811.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Beef burger;91;258;10.6;9.5;32.5;0.4;210;157;2.6;225;189.1;0;0;0;0;278.75;0.555;0;0;0;100;https://cdn.id9.site/burgerax/media/2020/09/beef-burger-e1644156606108.jpeg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Beef teriyaki masakan;92;151;8.6;3.1;22.3;0.3;142;62;2.3;225;0;0;0;0;0;278.75;0.53;0;0;0;100;https://www.masakapahariini.com/wp-content/uploads/2020/12/resep-beef-teriyaki-2-500x300.jpg;0;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Tidak signifikan (non-karbohidrat)
Beef yakiniku masakan;93;132;9.8;1.1;20.7;0.3;302;67;2;225;0;0;0;0;0;278.75;0.555;0;0;0;100;https://asset.kompas.com/crops/awoHyKStB8lI_yqs1PTI3VjIHsE=/78x42:958x629/750x500/data/photo/2022/12/08/6391613d09412.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bekasam;94;116;11.9;4.9;6.1;3.5;337.5;440;7.5;225;176;0.75;1.9;0;0;0;0;0.03;2.1;0;100;https://assets-a1.kompasiana.com/items/album/2021/11/13/bekasam-kuliner-fermentasi-khas-wong-sumsel-shd-1-removebg-preview-618f54d2c26b771c5c083212.png;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bekasang;95;78;11.4;2;3.6;0.4;54;97;2.6;225;121;0.2;2.5;0;0;0;0.15;0.12;0.6;0;100;https://www.surabayapagi.com/po-content/photo/big/a782bead716a8dbee3762c8c79ec4e54.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Belibis daging segar;96;131;20.2;4.3;2.8;0;8;192;8.2;46;104;0.75;1.6;0;0;0;0.37;0.08;2.7;0;100;https://assets.tokko.io/2bbdc42e-f0c6-494e-ae09-9d177af2ec61/products/images/cc352d35-2818-45ed-9a63-03f4fbd2247b;0;Atkinson et al. (2008) – tidak mengandung karbohidrat;token(daging)→daging sapi;Tidak signifikan (non-karbohidrat)
Belimbing;97;36;0.4;0.4;8.8;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdn0-production-images-kly.akamaized.net/vVBJG9Flt0ncPec4-hGyZftu4og=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2778801/original/086460500_1556885614-belimbing.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Belitung talas kukus;98;145;1.2;0.4;34.2;1;21;48;0.9;7;552.6;0.2;0.9;0;0;0;0.08;0.1;2.3;1;100;https://asset-a.grid.id/crop/0x0:0x0/700x0/photo/2020/06/29/1496174786.jpg;55;Trinidad et al. (2010);partial→talas;Sedang
Belut goreng;99;417;25.9;19.4;32;0;337.5;440;4.9;71;217.7;0.3;1.8;0;0;0;0;0.2;3.5;0;100;https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg;76;Atkinson et al. (2008);token(goreng)→nasi goreng;Tinggi
Belut segar;100;70;14.6;0.8;1;0;49;155;1.5;55;169;0.2;1.2;0;0;0;0.22;0.12;3.5;0;100;https://cdn0-production-images-kly.akamaized.net/dzEIf_Zb-p6ktRAywNdWHoTH5Wg=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2760114/original/080217400_1553484954-Cara_budidaya_belut.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Belutlaut segar;101;93;12.8;1.5;6.1;0;60;199;3;33;175.9;0.1;1;0;3;71;0.06;0;2.7;0;100;https://mfcepusluh.bpsdmkp.kkp.go.id/asset/foto_berita/SIDAT_OK_-1.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bengkuang;102;55;1.4;0.2;12.8;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://jovee.id/wp-content/uploads/2020/11/shutterstock_1830526784.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bentul (Komba)  talas segar;103;98;1.6;0.7;20.9;0.7;44;66;1.5;0;195.5;0.2;0.6;0;0;0;0.02;0.1;0.8;0;86;https://sampangkabmuseumjatim.files.wordpress.com/2014/08/talas.jpg;55;Trinidad et al. (2010);partial→talas;Sedang
Bentul talas kukus;104;71;2.3;0.3;15.4;0.5;29;26;0.6;0;201;0.2;0.6;0;0;0;0.06;0;0;12.5;100;https://i.ytimg.com/vi/zJ9Rg_MIGfY/maxresdefault.jpg;55;Trinidad et al. (2010);partial→talas;Sedang
Beras Cerdas;105;350;2.7;1.1;82.3;6.2;28;351;2.9;225;568;0.2;0.9;0;0;0;0.02;0.2;0.3;0;100;https://1.bp.blogspot.com/-bI9SR2CfOMQ/VIuCEHs40eI/AAAAAAAAAK8/iE3VYEXXno8/s1600/1460018_556060297809682_917149226_n.jpg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras ganyong;106;364;3.4;0.7;86.3;4.7;4;47;5;4;72.2;0.2;0.6;0;1;0.1;0.02;0.02;0.3;0;100;https://www.agrofarm.co.id/wp-content/uploads/2022/04/Ganyong-e1651331774497.jpg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras Giling;107;360;6.8;0.7;78.9;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://images.pexels.com/photos/4187621/pexels-photo-4187621.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras Giling masak (nasi) ;108;178;2.1;0.1;40.6;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://e0.pxfuel.com/wallpapers/769/103/desktop-wallpaper-white-rice-rice-bowl.jpg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras giling mentah;109;357;8.4;1.7;77.1;0.2;147;81;1.8;27;71;0.1;0.5;0;0;0;0.2;0.08;2.6;0;100;https://id-test-11.slatic.net/p/f39461bcbf996f071c0e206b97d62889.jpg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras giling var pelita mentah;110;369;9.5;1.4;77.1;0.4;68;171;1.4;34;0;0;0;0;0;0;0.26;0;0;0;100;https://rottebakery.com/wp-content/uploads/2022/06/white-rice-flour-small-bowl-with-rice-plant.jpg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras giling var rojolele mentah;111;357;8.4;1.7;77.1;0.2;147;81;1.8;34;112.9;0.14;0.1;0;0;80;0.2;0.02;1.5;0;100;https://s0.bukalapak.com/img/06431812631/large/BERAS_ROJOLELE_25KG.png;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras hitam mentah;112;351;8;1.3;76.9;6.75;6;198;0.1;15;105;0.1;1.6;0;0;0;0.21;0.06;0;0;100;https://statik.tempo.co/data/2022/01/25/id_1083329/1083329_720.jpg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras jagung kuning kering mentah;113;358;5.5;0.1;82.7;6.75;20;90;1.4;1;80;0.1;2.5;0;60;0;0.12;0.08;1;3;100;https://thumbs.vdvc.id/olret/images/original/2022/07/21/62d900a97984b-manfaat-tepung-jagung_olret.jpg;52;"Atkinson et al. (2008); Richana et al. (2012)";partial→jagung;Rendah
Beras jagung putih kering mentah;114;307;4.8;0.1;71.8;6.75;17;78;1.2;1;70;0.1;2.5;0;60;0;0.15;0.07;0.9;0;100;https://awsimages.detik.net.id/community/media/visual/2016/05/06/8a8ccd2e-6879-4e3a-9082-e632e117354c.jpg?w=852;52;"Atkinson et al. (2008); Richana et al. (2012)";partial→jagung;Rendah
Beras Ketan Hitam;115;356;7;0.7;78;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://img.herstory.co.id/articles/archive_20211203/beras-hitam-20211203-092358.jpg;86;Atkinson et al. (2008);partial→beras ketan;Tinggi
Beras Ketan Hitam kukus;116;181;4;1.2;37.3;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://img.freepik.com/free-photo/purple-rice-berries-cooked-wooden-dish-with-mint-leaves_1150-19858.jpg?w=1060&t=st=1683884169~exp=1683884769~hmac=cbae358960d57fe16933cd26ccb63b1353dd59576d26b5334b0f7a9f732a4539;86;Atkinson et al. (2008);partial→beras ketan;Tinggi
Beras Ketan Hitam tape;117;166;3.8;1;34.4;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/5/19/6313260c-769d-4875-a3b2-ab4681eff412.jpg;86;Atkinson et al. (2008);partial→beras ketan;Tinggi
Beras Ketan Hitam tumbuk;118;360;8;2.3;74.5;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://ceklist.id/wp-content/uploads/2021/08/Tepung-Ketan-Hitam-Terbaik.jpg;86;Atkinson et al. (2008);partial→beras ketan;Tinggi
Beras ketan hitam tumbuk mentah;119;360;8;2.3;74.5;1;10;347;6.2;11;288;0.28;2.2;0;0;0;0.24;0.1;2;0;100;https://img.herstory.co.id/articles/archive_20211203/beras-hitam-20211203-092358.jpg;86;Atkinson et al. (2008);partial→beras ketan;Tinggi
Beras Ketan Putih;120;362;6.7;0.7;79.4;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://img.freepik.com/free-photo/milled-rice-bowl-wooden-spoon-black-cement-floor_1150-20058.jpg?w=1060&t=st=1683884494~exp=1683885094~hmac=087d2b8d5b7ba0d5d39291bc84cfdab7dd5e308ae534fd542be811d73f1b8eed;86;Atkinson et al. (2008);partial→beras ketan;Tinggi
Beras Ketan Putih kukus;121;163;3;0.4;35.7;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://img.freepik.com/free-photo/white-rice-is-placed-cup-wooden-floor_1150-26270.jpg?w=1060&t=st=1683884551~exp=1683885151~hmac=a53080997cbf768ead7314bfb2a4eb430be3da2f4caefbe22061ff25aa62d18d;86;Atkinson et al. (2008);partial→beras ketan;Tinggi
Beras Ketan Putih tape;122;172;3;0.5;37.5;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://awsimages.detik.net.id/community/media/visual/2020/06/23/tape-ketan-putih-2.jpeg?w=1280;86;Atkinson et al. (2008);partial→beras ketan;Tinggi
Beras Ketan Putih tumbuk;123;361;7.4;0.8;78.4;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://www.melatiputrajaya.com/wp-content/uploads/2021/02/Tepung-Beras-Ketan-sumber-Bola-Keluarga.jpg;86;Atkinson et al. (2008);partial→beras ketan;Tinggi
Beras ketan putih tumbuk mentah;124;361;7.4;0.8;78.4;0.4;13;157;3.4;3;282;0.28;2.2;0;0;0;0.28;0;1.4;0;100;https://s1.bukalapak.com/img/13260261701/large/data.jpeg;86;Atkinson et al. (2008);partial→beras ketan;Tinggi
Beras ladang mentah;125;376;7.5;3.8;78;5.9;20;110;0.8;10;70;0.1;1.4;0;0;0;0.2;0.2;3.5;0;100;https://cf.shopee.co.id/file/7ba3bd8d1b35213b450210a2d8a7bebe;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras Menir;126;339;7.7;4.4;73;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://s1.bukalapak.com/img/11085064122/large/Beras_Menir_Kiloan.jpg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras menir mentah;127;362;7.7;4.4;73;0.2;22;272;3.7;90;201;0.1;0.5;0;0;0;0.55;0;1.9;0;100;https://cf.shopee.co.id/file/545e238984fb60430e0c5974baa50a67;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras Merah tumbuk;128;359;7.5;0.9;77.6;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://i0.wp.com/gitacinta.com/wp-content/uploads/2022/06/tepung-beras-merah.jpg?resize=650%2C276&ssl=1;55;Atkinson et al. (2008);partial→beras merah;Sedang
Beras Parboiled;129;364;6.8;0.6;80.1;0.5;5;142;0.8;2;46;0.28;1;0;0;0;0.22;0.11;3.4;0;100;https://nilaigizi.com/assets/images/produk/produk_1565756452.jpeg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras parboiled;130;353;6.8;0.6;80;0.5;5;142;0.8;2;46;0.28;1;0;0;0;0.22;0.11;3.4;0;100;https://media.istockphoto.com/id/682901376/id/foto/kantong-penuh-beras-parboiled.jpg?s=170667a&w=0&k=20&c=XIjpCICb6eaZjgGTPXA-gGGo2EQHtQmwnNHny3ce_m8=;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras Pecah Kulit;131;335;7.4;1.9;76.2;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://media.savitri.co.id/content/uploads/2020/11/05111454/Beras-Pecah-Kulit-2-scaled.jpg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras Setengah Giling;132;363;7.6;1.1;78.3;2;30;68;1.5;10;70;0.1;0.5;0;0;0;0.1;0.04;0.6;0;100;https://media.istockphoto.com/id/1028702012/id/foto/beras-beras-setengah-giling-atau-beras-sekam.jpg?s=170667a&w=0&k=20&c=Jb-uK5CIE8eS7em_tTN1mI7vwFDbh_D3-ud50g1ODjc=;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras Siger;133;344;1.1;0.2;28.3;5.6;32;22;5.6;106;77.9;0.1;0.5;0;0;0;0.02;0.1;0.2;0;100;https://www.goodnewsfromindonesia.id/uploads/post/large-beras-singkong-6b6d1b3932ec72a9012d9307b84fd243.jpg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras tumbuk mentah;134;354;7.8;0.4;79.9;3.8;3;112;0.6;5;85;0.5;1.5;0;0;0;0.25;0.22;3.5;0;100;https://nilaigizi.com/assets/images/produk/produk_1565756824.jpeg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Beras tumbuk merah mentah;135;352;7.3;0.9;76.2;0.8;15;257;4.2;10;202;0.36;1.9;0;0;0;0.34;0;3.3;0;100;https://www.faunadanflora.com/wp-content/uploads/2016/10/Kandungan-gizi-serta-manfaat-beras-merah-bagi-kesehatan.jpg;72;"Atkinson et al. (2008); Indrasari et al. (2008)";token(beras)→beras putih;Tinggi
Betok wadi masakan;136;145;16.3;7;4.1;0;337.5;440;1.8;69;203;0.75;1.3;0;0;0;0.22;0;0;0;100;https://images.tokopedia.net/img/cache/700/VqbcmM/2021/11/29/26184a0a-29ed-48dc-9c82-ca5e70c66b39.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bihun;137;360;4.7;0.1;82.1;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://ik.imagekit.io/dcjlghyytp1/2020/03/curry-1609780_1920.jpg?tr=f-auto;58;Atkinson et al. (2008);exact;Sedang
Bihun Goreng ;138;154;3;4.5;25.5;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://img.kurio.network/ZxAfF4qJQbpTcsTwVZ5fxE-8_no=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/10/17/f29f0fe9-7b93-498a-a6fe-2e0abc82e509.jpe;58;Atkinson et al. (2008);partial→bihun;Sedang
Bihun goreng instan;139;381;6.1;3.9;80.3;0;266;151;2.9;225;0;0;0;0;0;278.75;0.37;0;0;0;100;https://img-global.cpcdn.com/recipes/98b4c2fca1b1e699/1200x630cq70/photo.jpg;58;Atkinson et al. (2008);partial→bihun;Sedang
Bihun Jagung mentah;140;354;0.5;0.3;87.4;3;13;111;0.6;49;1.4;0.4;0;0;0;0;0.02;0.02;0.3;0;100;https://cdn.idntimes.com/content-images/post/20190917/ts3-afd6374f037588e5b1267149563c6ce7.jpg;58;Atkinson et al. (2008);partial→bihun;Sedang
Bihun mentah;141;348;4.7;0.1;82.1;1.2;6;35;1.8;12;5;0.08;0.7;0;0;0;0;0;0.2;0;100;https://asset.kompas.com/crops/dTUuoSNNMAy7MfUGn3xsMru6iQY=/0x0:1000x667/780x390/data/photo/2020/10/25/5f9537b7649a3.jpg;58;Atkinson et al. (2008);partial→bihun;Sedang
Biji Jambu Mete;142;562;21.2;49.6;23.6;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://static.republika.co.id/uploads/images/inpicture_slide/biji-jambu-mete-seorang-warga-menunjukkan-biji-jambu-mete-_121124152601-814.jpg;19;Nainggolan & Adimunca (2005) dalam Arif et al. (2013);partial→jambu;Rendah
Biji Jambu Mete goreng;143;629;21.5;56.6;19.8;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://jovee.id/wp-content/uploads/2020/09/KACANGMEDE.jpg;19;Nainggolan & Adimunca (2005) dalam Arif et al. (2013);partial→jambu;Rendah
Biji nangka/Biji salak;144;262;2.3;5.4;51.1;6.75;60;80;0.8;10;2;0.6;2;0;60;0;0.1;0.3;0;10;100;https://img-global.cpcdn.com/recipes/0df60642ab5496ab/680x482cq70/122-biji-salak-ber-nangka-foto-resep-utama.jpg;35;Waspadji et al. (2003);partial→salak;Rendah
Bika ambon;145;199;2.1;1.5;44.4;0.3;45;28;1.8;0;0;0;0;0;0;278.75;0.1;0;0;0;100;https://upload.wikimedia.org/wikipedia/commons/4/43/Kue_bika_ambon.JPG;59;Waspadji et al. (2003);token(ambon)→pisang ambon;Sedang
Bika Ambon ;146;225.7;3;0.3;52.9;0.3;45;28;1.8;0;0;0;0;0;0;278.75;0.1;0;0;0;100;https://kurio-img.kurioapps.com/21/08/09/550ddc82-8004-49fe-a427-197fead4eec3.jpe;59;Waspadji et al. (2003);token(ambon)→pisang ambon;Sedang
Bir (4% alkohol);147;48;0.6;0;4.4;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://img-cdn.medkomtek.com/9nrwopmWH6OZWfzLJFo3sIIrBns=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/gHEIB2nYYci1BklN8-Ocn/original/014067600_1615200086-kadar-alkohol-di-dalam-berbagai-jenis-minuman-keras.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Biskuit;148;458;6.9;14.4;75.1;2.1;62;87;2.7;225;20.3;0.16;0.6;0;14;0;0.09;0.15;1.4;0;100;https://s4.bukalapak.com/bukalapak-kontenz-production/content_attachments/57314/original/main_merek_biskuit_enak_shutterstock.jpg;65;Atkinson et al. (2008);exact;Sedang
Bit;149;42;1.6;0.1;9.6;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://static.honestdocs.id/system/blog_articles/main_hero_images/000/002/304/original/14_Manfaat_Buah_Bit_Bagi_Kesehatan_Tubuh.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Biwah segar;150;51;0.3;0.1;12.1;0.7;220;14;0.8;1;258.6;0;0;0;0;278.75;0.1;0.02;0;4;66;https://cdn.idntimes.com/content-images/community/2019/07/big-1358231-960-720-8ba3de334ccaf29bc9502faa35dd8283_600x400.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Bonggol Pisang;151;43;2.6;0;11.6;2.45;20;31;0.6;4;171.2;0.1;0.25;0;9;0;0.1;0.03;0.3;10;100;https://lzd-img-global.slatic.net/g/ff/kf/S1463a138f13a4911a9d6d535825ddb61O.jpg_720x720q80.jpg;59;"Hoerudin (2012); Atkinson et al. (2008)";partial→pisang;Sedang
Bonggol Pisang kering;152;245;3.4;0;66.2;2.45;20;31;0.6;4;171.2;0.1;0.25;0;9;0;0.1;0.03;0.3;10;100;https://www.pertanianku.com/wp-content/uploads/2021/04/Keripik-Bonggol-Pisang-Berhasil-Tembus-Pasar-Ekspor.jpg;59;"Hoerudin (2012); Atkinson et al. (2008)";partial→pisang;Sedang
Bongkrek (tempe bungkil);153;119;4.4;3.5;18.3;2.4;133;220;4;6;69.2;0.27;1.2;0;0;0;0.18;0.07;0.7;0;100;https://cf.shopee.co.id/file/a7769b06122c01b56b932750fdbbd06d;25;"Waspadji et al. (2003); Rimbawan & Siagian (2004)";partial→tempe;Rendah
Boros Kunci;154;23;1;0.8;7.2;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://assets-a1.kompasiana.com/items/album/2021/01/23/img-20201215-wa0054fix-600b9bfdd541df5c9d4c6c52.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Boros Laja (lengkuas);155;22;1;0.3;4.7;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://nilaigizi.com/assets/images/produk/produk_1537342919.png;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Botok lamtoro;156;186;11.7;9.7;13;2.1;337.5;322;8.2;0;0;0;0;0;0;179;0.27;0;0;2;100;https://sweetrip.id/wp-content/uploads/2022/05/botok-lamtoro.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Brem;157;249;3.4;0.4;58;0;198;86;2;0;0;0;0;0;0;240;0.34;0;0;0;100;https://upload.wikimedia.org/wikipedia/commons/c/c4/Brem_Madiun.JPG;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Brondong ;158;400;4;0.7;95.3;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://cdn.idntimes.com/content-images/community/2020/07/lg-k15522919710053-2-25e6aa2e5c1611522cabcd2dad7de10f.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Brongkos;159;141;15.3;3.3;12.6;1;87;97;5.1;0;0;0;0;0;0;278.75;0.4;0;0;0;100;https://asset.kompas.com/crops/GCuybR2DVru6BFg_rszv6WI4n_g=/0x0:1000x667/780x390/data/photo/2020/11/02/5f9f84e0407e9.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
